Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,31.309999,31.360001,30.830000,31.180000,31.180000,3244700
2019-04-02,31.209999,31.290001,30.799999,31.250000,31.250000,3308500
2019-04-03,31.200001,31.379999,30.940001,31.230000,31.230000,3704200
2019-04-04,31.240000,31.290001,30.870001,31.049999,31.049999,2610400
2019-04-05,31.010000,31.250000,30.900000,31.209999,31.209999,2566600
2019-04-08,31.219999,31.240000,30.870001,30.920000,30.920000,2797800
2019-04-09,30.900000,30.910000,30.700001,30.790001,30.790001,2260800
2019-04-10,30.910000,30.990000,30.809999,30.969999,30.969999,2634500
2019-04-11,30.940001,31.110001,30.690001,30.870001,30.870001,2422000
2019-04-12,30.809999,30.889999,30.379999,30.860001,30.860001,2902500
2019-04-15,30.870001,30.950001,30.650000,30.809999,30.809999,1906600
2019-04-16,30.879999,30.959999,29.639999,29.830000,29.830000,2866800
2019-04-17,29.889999,30.020000,29.030001,29.150000,29.150000,3384300
2019-04-18,29.150000,29.850000,29.020000,29.830000,29.830000,3567100
2019-04-22,29.690001,29.709999,28.860001,29.270000,29.270000,3605600
2019-04-23,29.410000,29.760000,29.260000,29.570000,29.570000,2635600
2019-04-24,29.680000,29.959999,29.540001,29.799999,29.799999,1861800
2019-04-25,29.690001,29.990000,29.530001,29.920000,29.920000,3034400
2019-04-26,29.990000,30.290001,29.910000,30.250000,30.250000,3125200
2019-04-29,30.120001,30.190001,29.520000,29.549999,29.549999,2796600
2019-04-30,29.570000,29.959999,29.420000,29.950001,29.950001,1344550
