Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,141.509995,143.410004,141.509995,143.300003,143.300003,3984300
2019-04-02,143.350006,143.949997,142.600006,143.000000,143.000000,2404800
2019-04-03,143.649994,144.220001,143.009995,143.630005,143.630005,2681200
2019-04-04,143.619995,144.139999,142.539993,142.779999,142.779999,2771100
2019-04-05,143.289993,143.500000,142.460007,143.279999,143.279999,2731800
2019-04-08,143.020004,143.419998,142.869995,143.389999,143.389999,2118200
2019-04-09,142.660004,142.949997,141.839996,142.110001,142.110001,3038500
2019-04-10,142.199997,143.500000,141.979996,143.020004,143.020004,2678000
2019-04-11,143.800003,144.110001,143.029999,143.779999,143.779999,2942000
2019-04-12,144.259995,144.440002,143.699997,144.350006,144.350006,2898900
2019-04-15,144.399994,144.460007,143.270004,143.899994,143.899994,3603200
2019-04-16,144.399994,145.389999,144.020004,145.139999,145.139999,6301700
2019-04-17,137.369995,141.979996,136.259995,139.110001,139.110001,12525700
2019-04-18,139.000000,140.490005,138.699997,140.330002,140.330002,4960000
2019-04-22,139.419998,140.559998,138.479996,138.889999,138.889999,4494000
2019-04-23,139.149994,140.919998,138.940002,140.440002,140.440002,4462200
2019-04-24,140.600006,141.309998,139.779999,139.949997,139.949997,2774900
2019-04-25,139.699997,139.750000,137.710007,138.630005,138.630005,2910100
2019-04-26,139.339996,139.889999,138.809998,139.440002,139.440002,2319800
2019-04-29,139.149994,139.630005,138.809998,139.050003,139.050003,2765100
2019-04-30,139.110001,140.029999,138.679993,139.994995,139.994995,1666124
